id,name,lat,lng
ODS,Odessa International Airport,30.6765,46.4268
LED,Pulkovo Airport,30.2625,59.8003
MSQ,Minsk National Airport,28.0307,53.8825
KJA,Yemelyanovo Airport,92.4933,56.1729
OVB,Tolmachevo Airport,82.6507,55.0126
ROV,Platov International Airport,39.9247,47.4939
AER,Sochi International Airport,39.9566,43.4499
,atl,-84.3750,33.1376
SVX,Koltsovo Airport,60.8027,56.7431
ASB,Ashgabat International Airport,58.3610,37.9868
TAS,Tashkent International Airport,69.2812,41.2579
ZIA,Zhukovsky International Airport,38.1500,55.5533
DME,Domodedovo International Airport,37.9063,55.4088
SVO,Sheremetyevo International Airport,37.4146,55.9726
VKO,Vnukovo International Airport,37.2615,55.5915
KZN,Kazan International Airport,49.2787,55.6062
,Borisoglebskoye Airport,49.1333,55.8667
UFA,Ufa International Airport,55.8744,54.5575
KUF,Kurumoch International Airport,50.1643,53.5049
BOM,Chhatrapati Shivaji International Airport,72.8679,19.0887
GOI,Dabolim Airport,73.8314,15.3808
CMB,Bandaranaike International Colombo Airport,79.8841,7.1808
HRI,Mattala Rajapaksa International Airport,81.1241,6.2845
PNH,Phnom Penh International Airport,104.8440,11.5466
REP,Siem Reap International Airport,103.8130,13.4107
CCU,Netaji Subhash Chandra Bose International Airport,88.4467,22.6547
DAC,Hazrat Shahjalal International Airport,90.3978,23.8433
HKG,Hong Kong International Airport,113.9150,22.3089
ATQ,Sri Guru Ram Dass Jee International Airport,74.7973,31.7096
DEL,Indira Gandhi International Airport,77.1031,28.5665
MFM,Macau International Airport,113.5920,22.1496
KTM,Tribhuvan International Airport,85.3591,27.6966
BLR,Kempegowda International Airport,77.7063,13.1979
COK,Cochin International Airport,76.4019,10.1520
CCJ,Calicut International Airport,75.9553,11.1368
HYD,Rajiv Gandhi International Airport,78.4299,17.2313
MAA,Chennai International Airport,80.1693,12.9900
TRV,Trivandrum International Airport,76.9201,8.4821
MLE,Malé International Airport,73.5291,4.1918
DMK,Don Mueang International Airport,100.6070,13.9126
BKK,Suvarnabhumi Airport,100.7470,13.6811
CNX,Chiang Mai International Airport,98.9626,18.7668
HKT,Phuket International Airport,98.3169,8.1132
DAD,Da Nang International Airport,108.1990,16.0439
HAN,Noi Bai International Airport,105.8070,21.2212
SGN,Tan Son Nhat International Airport,106.6520,10.8188
MDL,Mandalay International Airport,95.9779,21.7022
RGN,Yangon International Airport,96.1332,16.9073
UPG,Hasanuddin International Airport,119.5540,-5.0616
DPS,Ngurah Rai (Bali) International Airport,115.1670,-8.7482
DJJ,Sentani International Airport,140.5160,-2.5770
SUB,Juanda International Airport,112.7870,-7.3798
SOQ,Dominique Edward Osok Airport,131.2870,-0.8940
BWN,Brunei International Airport,114.9280,4.9442
CGK,Soekarno-Hatta International Airport,106.6560,-6.1256
KNO,Kualanamu International Airport,98.8853,3.6422
KUL,Kuala Lumpur International Airport,101.7100,2.7456
SIN,Singapore Changi Airport,103.9940,1.3502
BNE,Brisbane International Airport,153.1170,-27.3842
MEL,Melbourne International Airport,144.8430,-37.6733
ADL,Adelaide International Airport,138.5310,-34.9450
PER,Perth International Airport,115.9670,-31.9403
CBR,Canberra International Airport,149.1950,-35.3069
SYD,Sydney Kingsford Smith International Airport,151.1770,-33.9461
PEK,Beijing Capital International Airport,116.5850,40.0801
PKX,Beijing Daxing International Airport,116.4109,39.5099
HET,Baita International Airport,111.8240,40.8514
NAY,Beijing Nanyuan Airport,116.3880,39.7828
TSN,Tianjin Binhai International Airport,117.3460,39.1244
TYN,Taiyuan Wusu Airport,112.6280,37.7469
CAN,Guangzhou Baiyun International Airport,113.2990,23.3924
CSX,Changsha Huanghua International Airport,113.2200,28.1892
KWL,Guilin Liangjiang International Airport,110.0390,25.2181
NNG,Nanning Wuxu Airport,108.1720,22.6083
SZX,Shenzhen Bao'an International Airport,113.8110,22.6393
CGO,Zhengzhou Xinzheng International Airport,113.8410,34.5197
WUH,Wuhan Tianhe International Airport,114.2080,30.7838
HAK,Haikou Meilan International Airport,110.4590,19.9349
SYX,Sanya Phoenix International Airport,109.4120,18.3029
XIY,Xi'an Xianyang International Airport,108.7520,34.4471
ULN,Chinggis Khaan International Airport,106.7670,47.8431
KMG,Kunming Changshui International Airport,102.9292,25.1019
XMN,Xiamen Gaoqi International Airport,118.1280,24.5440
FOC,Fuzhou Changle International Airport,119.6630,25.9351
HGH,Hangzhou Xiaoshan International Airport,120.4340,30.2295
TNA,Yaoqiang Airport,117.2160,36.8572
NGB,Ningbo Lishe International Airport,121.4620,29.8267
NKG,Nanjing Lukou Airport,118.8620,31.7420
PVG,Shanghai Pudong International Airport,121.8050,31.1434
SHA,Shanghai Hongqiao International Airport,121.3360,31.1979
WNZ,Wenzhou Longwan International Airport,120.8520,27.9122
CKG,Chongqing Jiangbei International Airport,106.6420,29.7192
KWE,Longdongbao Airport,106.8010,26.5385
CTU,Chengdu Shuangliu International Airport,103.9470,30.5785
URC,Ürümqi Diwopu International Airport,87.4742,43.9071
HRB,Taiping Airport,126.2500,45.6234
DLC,Zhoushuizi Airport,121.5390,38.9657
SHE,Taoxian Airport,123.4830,41.6398
